date,total_revenue,total_orders,avg_order_value,day_of_week,month,is_weekend,rolling_mean,rolling_std,rolling_median,revenue_change_pct,revenue_lag1,revenue_lag7,z_score,anomaly_zscore,anomaly_iqr,iqr_lower,iqr_upper,ucl,lcl,anomaly_cc,anomaly_iforest,iforest_score,anomaly_votes,is_anomaly,anomaly_type,anomaly_magnitude,anomaly_severity
2021-01-01,2582.6,10,258.26,4,1,0,,,,,,,-0.367167876564535,False,False,-223.53000000000065,6296.370000000001,,,False,False,-0.11379132397565206,0,False,normal,,none
2021-01-02,3316.41,11,301.4918181818182,5,1,1,,,,28.413614187253145,2582.6,,0.11388353283293412,False,False,-223.53000000000065,6296.370000000001,,,False,False,-0.04820875499991395,0,False,normal,,none
2021-01-03,1410.75,13,108.51923076923076,6,1,1,2436.5866666666666,961.1841285796044,2582.6,-57.46153219897418,3316.41,,-1.135377759371289,False,False,-223.53000000000065,6296.370000000001,5320.13905240548,-446.9657190721464,False,False,-0.017621198670936256,0,False,normal,1025.8366666666666,none
2021-01-04,2281.81,13,175.52384615384614,0,1,0,2397.8925,788.6098994380343,2432.205,61.74446216551479,1410.75,,-0.5643516890400596,False,False,-223.53000000000065,6296.370000000001,4763.722198314103,32.062801685897284,False,False,-0.18214442952545323,0,False,normal,116.08249999999998,none
2021-01-05,1329.5,9,147.72222222222223,1,1,0,2184.214,833.4996622254864,2281.81,-41.73485084209465,2281.81,,-1.1886414475379048,False,False,-223.53000000000065,6296.370000000001,4684.712986676459,-316.2849866764591,False,False,-0.10320183442979952,0,False,normal,854.7139999999999,none
2021-01-06,3415.07,13,262.6976923076923,2,1,0,2389.3566666666666,899.0430644116369,2432.205,156.86874764949232,1329.5,,0.1785604002116213,False,False,-223.53000000000065,6296.370000000001,5086.485859901577,-307.7725265682443,False,False,-0.11835190339623286,0,False,normal,1025.7133333333336,none
2021-01-07,600.86,6,100.14333333333332,3,1,0,2133.8571428571427,1063.2616829315707,2281.81,-82.40563150974943,3415.07,,-1.6663036474852642,False,False,-223.53000000000065,6296.370000000001,5323.642191651855,-1055.9279059375694,False,True,0.06896494273334652,1,False,normal,1532.9971428571425,none
2021-01-08,1191.7,9,132.41111111111113,4,1,0,1935.1571428571426,1094.9178461070992,1410.75,98.33239024065506,600.86,2582.6,-1.2789766626684853,False,False,-223.53000000000065,6296.370000000001,5219.91068117844,-1349.596395464155,False,False,-0.06857221534287983,0,False,normal,743.4571428571426,none
2021-01-09,4005.46,20,200.273,5,1,1,2033.5928571428572,1258.540018854046,1410.75,236.11311571704286,1191.7,3316.41,0.5655923861400929,False,False,-223.53000000000065,6296.370000000001,5809.212913704994,-1742.0271994192804,False,False,-0.16094682473534438,0,False,normal,1971.8671428571429,none
2021-01-10,3791.14,10,379.114,6,1,1,2373.6485714285714,1378.1092958159325,2281.81,-5.3506962995511165,4005.46,1410.75,0.4250942489355499,False,False,-223.53000000000065,6296.370000000001,6507.976458876368,-1760.679316019226,False,True,0.07786158339314864,1,False,normal,1417.4914285714285,none
