customer_id,order_count,total_revenue,avg_order_value,avg_review,days_since_first,days_since_last,unique_categories,purchase_frequency,is_churned,avg_inter_order_days
CUST_00001,4,514.46,128.615,4.0,653,230,4,0.18376722817764166,1,163.25
CUST_00002,3,850.25,283.4166666666667,5.0,738,122,3,0.12195121951219512,1,246.0
CUST_00003,6,948.42,158.07,4.666666666666667,1043,381,6,0.1725790987535954,1,173.83333333333334
CUST_00004,7,1640.93,234.41857142857143,3.8,960,67,7,0.21875,0,137.14285714285714
CUST_00005,6,2017.8400000000001,336.3066666666667,4.6,1029,19,6,0.17492711370262393,0,171.5
CUST_00006,7,740.68,105.81142857142856,3.5714285714285716,1068,0,7,0.19662921348314605,0,152.57142857142858
CUST_00007,7,1480.6100000000001,211.5157142857143,4.0,980,136,7,0.2142857142857143,1,140.0
CUST_00008,3,749.5,249.83333333333334,3.3333333333333335,950,61,3,0.09473684210526316,0,316.6666666666667
CUST_00009,6,1512.01,252.00166666666667,3.25,952,443,6,0.18907563025210083,1,158.66666666666666
CUST_00010,6,1086.83,181.13833333333332,5.0,1010,38,6,0.17821782178217824,0,168.33333333333334
CUST_00011,11,1764.8799999999999,160.44363636363636,3.5,829,5,11,0.39806996381182147,0,75.36363636363636
CUST_00012,6,1534.24,255.70666666666668,3.3333333333333335,760,2,6,0.2368421052631579,0,126.66666666666667
CUST_00013,3,371.02,123.67333333333333,4.0,784,310,3,0.11479591836734694,1,261.3333333333333
CUST_00014,4,896.4599999999999,224.11499999999998,5.0,1078,723,4,0.11131725417439704,1,269.5
CUST_00015,8,1422.71,177.83875,4.857142857142857,864,100,8,0.2777777777777778,1,108.0
CUST_00016,10,1722.87,172.28699999999998,3.875,951,35,10,0.31545741324921134,0,95.1
CUST_00017,3,1409.7,469.90000000000003,5.0,589,31,3,0.15280135823429541,0,196.33333333333334
CUST_00018,12,2169.63,180.8025,4.25,801,0,12,0.449438202247191,0,66.75
CUST_00019,7,2020.8999999999999,288.7,3.0,791,102,7,0.2654867256637168,1,113.0
CUST_00020,6,1635.17,272.52833333333336,3.4,869,125,6,0.20713463751438435,1,144.83333333333334
CUST_00021,6,1704.1299999999999,284.02166666666665,4.333333333333333,573,21,6,0.31413612565445026,0,95.5
CUST_00022,3,1312.2,437.40000000000003,5.0,765,467,3,0.11764705882352941,1,255.0
CUST_00023,2,277.01,138.505,5.0,952,700,2,0.06302521008403361,1,476.0
CUST_00024,3,266.68,88.89333333333333,4.666666666666667,736,429,3,0.12228260869565216,1,245.33333333333334
CUST_00025,7,1144.95,163.56428571428572,3.5,774,23,7,0.2713178294573643,0,110.57142857142857
CUST_00026,5,596.53,119.306,3.4,1051,426,5,0.142721217887726,1,210.2
CUST_00027,6,1782.9499999999998,297.1583333333333,4.5,755,5,6,0.23841059602649006,0,125.83333333333333
CUST_00028,3,941.6700000000001,313.89000000000004,4.0,657,10,3,0.13698630136986303,0,219.0
CUST_00029,8,1489.59,186.19875,3.857142857142857,1030,96,8,0.23300970873786406,1,128.75
CUST_00030,6,1437.8899999999999,239.6483333333333,4.25,872,20,6,0.20642201834862386,0,145.33333333333334
CUST_00031,2,631.5999999999999,315.79999999999995,3.5,745,580,2,0.08053691275167786,1,372.5
CUST_00032,4,945.31,236.3275,5.0,466,406,4,0.2575107296137339,1,116.5
CUST_00033,10,2235.73,223.573,4.625,1090,178,10,0.2752293577981651,1,109.0
CUST_00034,6,1232.73,205.455,4.333333333333333,867,175,6,0.20761245674740486,1,144.5
CUST_00035,7,1194.75,170.67857142857142,4.5,961,102,7,0.21852237252861603,1,137.28571428571428
CUST_00036,5,992.14,198.428,3.5,741,222,5,0.20242914979757085,1,148.2
CUST_00037,6,1026.13,171.02166666666668,4.0,932,323,6,0.19313304721030042,1,155.33333333333334
CUST_00038,6,732.9100000000001,122.15166666666669,4.75,602,1,6,0.29900332225913623,0,100.33333333333333
CUST_00039,5,638.72,127.744,4.75,997,85,5,0.15045135406218654,0,199.4
CUST_00040,5,907.3,181.45999999999998,3.8,896,39,5,0.16741071428571427,0,179.2
CUST_00041,7,1003.47,143.35285714285715,4.25,996,107,7,0.2108433734939759,1,142.28571428571428
CUST_00042,3,995.3100000000001,331.77000000000004,3.3333333333333335,1013,760,3,0.08884501480750247,1,337.6666666666667
CUST_00043,11,1710.19,155.47181818181818,4.875,978,97,11,0.3374233128834356,1,88.9090909090909
CUST_00044,4,523.8,130.95,1.5,995,2,4,0.1206030150753769,0,248.75
CUST_00045,5,1237.97,247.594,4.4,767,131,5,0.19556714471968709,1,153.4
CUST_00046,6,1262.08,210.34666666666666,4.0,716,145,6,0.25139664804469275,1,119.33333333333333
CUST_00047,7,1056.59,150.94142857142856,4.75,883,114,7,0.23782559456398641,1,126.14285714285714
CUST_00048,2,300.9,150.45,3.5,812,81,2,0.07389162561576355,0,406.0
CUST_00049,5,539.27,107.854,4.0,978,8,5,0.15337423312883436,0,195.6
CUST_00050,9,1732.74,192.52666666666667,3.875,852,32,9,0.31690140845070425,0,94.66666666666667
CUST_00051,5,607.71,121.542,3.0,846,510,5,0.1773049645390071,1,169.2
CUST_00052,4,517.51,129.3775,3.5,859,51,4,0.13969732246798602,0,214.75
CUST_00053,8,1798.88,224.86,4.666666666666667,923,2,8,0.2600216684723727,0,115.375
CUST_00054,4,917.5999999999999,229.39999999999998,4.666666666666667,568,297,4,0.2112676056338028,1,142.0
