order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code,customer_city,customer_state,customer_segment,item_count,revenue,freight,unique_products,payment_type,payment_installments,payment_value,review_score,year,month,day_of_week,hour,quarter,is_weekend,total_order_value,delivery_days
ORD_000001,CUST_00726,shipped,2021-01-01 10:37:00,2021-01-02 04:37:00,2021-01-04 10:37:00,2021-01-10 10:37:00,2021-01-17 10:37:00,UNIQ_00726,26544,Brasilia,DF,Wholesale,5,192.09,269.58,5,boleto,6,461.67,4.0,2021,1,4,10,1,0,461.66999999999996,9
ORD_000002,CUST_01406,delivered,2021-01-01 12:09:00,2021-01-01 13:09:00,2021-01-02 12:09:00,2021-01-16 12:09:00,2021-01-29 12:09:00,UNIQ_01406,42853,Fortaleza,PE,Wholesale,1,55.71,10.02,1,credit_card,1,65.73,3.0,2021,1,4,12,1,0,65.73,15
ORD_000003,CUST_01170,delivered,2021-01-01 12:35:00,2021-01-01 16:35:00,2021-01-04 12:35:00,2021-01-08 12:35:00,2021-01-12 12:35:00,UNIQ_01170,99705,Manaus,GO,B2C,1,59.22,8.75,1,credit_card,6,67.97,5.0,2021,1,4,12,1,0,67.97,7
ORD_000004,CUST_01516,canceled,2021-01-01 13:36:00,2021-01-02 00:36:00,2021-01-02 13:36:00,2021-01-04 13:36:00,2021-01-29 13:36:00,UNIQ_01516,47700,Salvador,MA,B2B,1,42.81,42.55,1,debit_card,2,85.36,,2021,1,4,13,1,0,85.36,3
ORD_000005,CUST_00091,delivered,2021-01-01 15:21:00,2021-01-02 15:21:00,2021-01-06 15:21:00,2021-01-06 15:21:00,2021-01-30 15:21:00,UNIQ_00091,93886,Manaus,PA,B2C,1,153.59,22.57,1,debit_card,1,176.16,3.0,2021,1,4,15,1,0,176.16,5
ORD_000006,CUST_02194,delivered,2021-01-01 17:45:00,2021-01-02 14:45:00,2021-01-06 17:45:00,2021-01-17 17:45:00,2021-01-26 17:45:00,UNIQ_02194,52291,Brasilia,SP,B2B,3,800.51,117.2,3,debit_card,1,917.71,4.0,2021,1,4,17,1,0,917.71,16
ORD_000007,CUST_02858,delivered,2021-01-01 18:20:00,2021-01-01 22:20:00,2021-01-04 18:20:00,2021-01-04 18:20:00,2021-01-09 18:20:00,UNIQ_02858,71080,Rio de Janeiro,DF,B2B,1,27.39,41.71,1,debit_card,12,69.1,5.0,2021,1,4,18,1,0,69.1,3
ORD_000008,CUST_00033,delivered,2021-01-01 18:42:00,2021-01-02 10:42:00,2021-01-02 18:42:00,2021-01-12 18:42:00,2021-01-09 18:42:00,UNIQ_00033,65392,Porto Alegre,MG,Wholesale,1,90.11,72.4,1,voucher,1,162.51,,2021,1,4,18,1,0,162.51,11
ORD_000009,CUST_02346,delivered,2021-01-01 19:12:00,2021-01-02 09:12:00,2021-01-06 19:12:00,2021-01-13 19:12:00,2021-01-26 19:12:00,UNIQ_02346,54444,Rio de Janeiro,BA,Wholesale,1,30.18,7.41,1,debit_card,6,37.59,3.0,2021,1,4,19,1,0,37.59,12
ORD_000010,CUST_01361,shipped,2021-01-01 22:35:00,2021-01-02 08:35:00,2021-01-02 22:35:00,2021-01-07 22:35:00,2021-01-17 22:35:00,UNIQ_01361,58566,Belo Horizonte,DF,B2B,5,313.1,225.7,5,credit_card,2,538.8,1.0,2021,1,4,22,1,0,538.8,6
ORD_000011,CUST_02533,invoiced,2021-01-02 06:12:00,2021-01-02 11:12:00,2021-01-07 06:12:00,2021-01-20 06:12:00,2021-01-10 06:12:00,UNIQ_02533,74930,Fortaleza,SP,Wholesale,1,124.15,46.15,1,voucher,12,170.3,5.0,2021,1,5,6,1,1,170.3,18
ORD_000012,CUST_01255,delivered,2021-01-02 06:22:00,2021-01-03 01:22:00,2021-01-03 06:22:00,2021-01-10 06:22:00,2021-01-12 06:22:00,UNIQ_01255,38705,Sao Paulo,PR,B2B,1,68.1,41.75,1,debit_card,6,109.85,5.0,2021,1,5,6,1,1,109.85,8
ORD_000013,CUST_02081,delivered,2021-01-02 09:10:00,2021-01-02 23:10:00,2021-01-03 09:10:00,2021-01-11 09:10:00,2021-01-23 09:10:00,UNIQ_02081,14561,Rio de Janeiro,DF,Wholesale,3,267.11,67.5,3,voucher,1,334.61,3.0,2021,1,5,9,1,1,334.61,9
ORD_000014,CUST_00359,delivered,2021-01-02 10:23:00,2021-01-03 09:23:00,2021-01-05 10:23:00,2021-01-07 10:23:00,2021-01-24 10:23:00,UNIQ_00359,70068,Fortaleza,PR,B2C,1,68.66,32.22,1,debit_card,12,100.88,5.0,2021,1,5,10,1,1,100.88,5
ORD_000015,CUST_01400,delivered,2021-01-02 12:56:00,2021-01-02 18:56:00,2021-01-06 12:56:00,2021-01-05 12:56:00,2021-02-01 12:56:00,UNIQ_01400,88116,Belo Horizonte,DF,B2B,1,253.98,45.57,1,debit_card,1,299.55,5.0,2021,1,5,12,1,1,299.55,3
ORD_000016,CUST_00760,delivered,2021-01-02 13:10:00,2021-01-03 06:10:00,2021-01-06 13:10:00,2021-01-07 13:10:00,2021-01-17 13:10:00,UNIQ_00760,15383,Recife,SC,Wholesale,1,263.43,71.45,1,debit_card,6,334.88,5.0,2021,1,5,13,1,1,334.88,5
ORD_000017,CUST_01635,delivered,2021-01-02 15:06:00,2021-01-02 16:06:00,2021-01-04 15:06:00,2021-01-19 15:06:00,2021-01-28 15:06:00,UNIQ_01635,15544,Manaus,PA,Wholesale,4,543.02,192.27,4,debit_card,12,735.29,5.0,2021,1,5,15,1,1,735.29,17
ORD_000018,CUST_02441,shipped,2021-01-02 15:25:00,2021-01-03 10:25:00,2021-01-05 15:25:00,2021-01-06 15:25:00,2021-01-29 15:25:00,UNIQ_02441,81601,Rio de Janeiro,SP,B2C,2,95.91,118.61,2,credit_card,1,214.52,5.0,2021,1,5,15,1,1,214.51999999999998,4
ORD_000019,CUST_00585,processing,2021-01-02 15:41:00,2021-01-02 20:41:00,2021-01-04 15:41:00,2021-01-17 15:41:00,2021-01-12 15:41:00,UNIQ_00585,60328,Rio de Janeiro,DF,B2C,1,18.22,47.43,1,voucher,3,65.65,1.0,2021,1,5,15,1,1,65.65,15
ORD_000020,CUST_01324,delivered,2021-01-02 17:18:00,2021-01-03 03:18:00,2021-01-06 17:18:00,2021-01-18 17:18:00,2021-01-27 17:18:00,UNIQ_01324,52992,Curitiba,DF,B2B,5,675.58,201.91,5,credit_card,1,877.49,4.0,2021,1,5,17,1,1,877.49,16
ORD_000021,CUST_01521,delivered,2021-01-02 22:27:00,2021-01-03 02:27:00,2021-01-04 22:27:00,2021-01-21 22:27:00,2021-01-14 22:27:00,UNIQ_01521,85748,Fortaleza,ES,B2B,1,64.07,9.32,1,voucher,2,73.39,,2021,1,5,22,1,1,73.38999999999999,19
ORD_000022,CUST_02359,invoiced,2021-01-03 06:50:00,2021-01-03 10:50:00,2021-01-06 06:50:00,2021-01-18 06:50:00,2021-01-26 06:50:00,UNIQ_02359,53652,Recife,PE,Wholesale,1,10.29,31.22,1,voucher,2,41.51,,2021,1,6,6,1,1,41.51,15
ORD_000023,CUST_01562,delivered,2021-01-03 08:36:00,2021-01-03 20:36:00,2021-01-08 08:36:00,2021-01-13 08:36:00,2021-01-16 08:36:00,UNIQ_01562,14018,Porto Alegre,MA,Wholesale,1,50.62,22.41,1,voucher,1,73.03,3.0,2021,1,6,8,1,1,73.03,10
ORD_000024,CUST_01627,delivered,2021-01-03 09:00:00,2021-01-03 10:00:00,2021-01-06 09:00:00,2021-01-20 09:00:00,2021-01-14 09:00:00,UNIQ_01627,79806,Porto Alegre,RJ,B2C,1,13.47,71.17,1,boleto,1,84.64,5.0,2021,1,6,9,1,1,84.64,17
ORD_000025,CUST_01238,delivered,2021-01-03 10:44:00,2021-01-03 21:44:00,2021-01-04 10:44:00,2021-01-10 10:44:00,2021-01-19 10:44:00,UNIQ_01238,85341,Manaus,GO,B2C,1,32.0,73.94,1,debit_card,1,105.94,5.0,2021,1,6,10,1,1,105.94,7
ORD_000026,CUST_01830,processing,2021-01-03 12:13:00,2021-01-03 13:13:00,2021-01-07 12:13:00,2021-01-09 12:13:00,2021-01-28 12:13:00,UNIQ_01830,79013,Salvador,AM,Wholesale,2,107.12,92.37,2,voucher,12,199.49,5.0,2021,1,6,12,1,1,199.49,6
ORD_000027,CUST_00745,delivered,2021-01-03 12:28:00,2021-01-04 09:28:00,2021-01-07 12:28:00,2021-01-23 12:28:00,2021-01-21 12:28:00,UNIQ_00745,85470,Brasilia,BA,B2C,3,80.71,152.48,3,voucher,3,233.19,,2021,1,6,12,1,1,233.19,20
ORD_000028,CUST_00463,delivered,2021-01-03 12:32:00,2021-01-04 08:32:00,2021-01-05 12:32:00,2021-01-17 12:32:00,2021-01-13 12:32:00,UNIQ_00463,39154,Rio de Janeiro,SC,Wholesale,1,13.99,71.28,1,boleto,1,85.27,5.0,2021,1,6,12,1,1,85.27,14
ORD_000029,CUST_00982,delivered,2021-01-03 13:59:00,2021-01-04 03:59:00,2021-01-06 13:59:00,2021-01-23 13:59:00,2021-01-13 13:59:00,UNIQ_00982,75597,Curitiba,GO,B2B,1,6.15,8.38,1,debit_card,2,14.53,4.0,2021,1,6,13,1,1,14.530000000000001,20
ORD_000030,CUST_00056,delivered,2021-01-03 14:22:00,2021-01-04 10:22:00,2021-01-05 14:22:00,2021-01-12 14:22:00,2021-01-10 14:22:00,UNIQ_00056,91070,Recife,RJ,B2B,1,18.98,67.1,1,debit_card,3,86.08,5.0,2021,1,6,14,1,1,86.08,9
ORD_000031,CUST_01857,shipped,2021-01-03 15:32:00,2021-01-04 10:32:00,2021-01-06 15:32:00,2021-01-17 15:32:00,2021-01-28 15:32:00,UNIQ_01857,71474,Sao Paulo,AM,Wholesale,1,55.79,41.56,1,credit_card,6,97.35,,2021,1,6,15,1,1,97.35,14
ORD_000032,CUST_01132,delivered,2021-01-03 16:20:00,2021-01-04 15:20:00,2021-01-04 16:20:00,2021-01-22 16:20:00,2021-02-01 16:20:00,UNIQ_01132,29936,Fortaleza,SP,B2B,1,244.35,21.33,1,boleto,3,265.68,3.0,2021,1,6,16,1,1,265.68,19
ORD_000033,CUST_00560,delivered,2021-01-03 17:21:00,2021-01-04 07:21:00,2021-01-05 17:21:00,2021-01-14 17:21:00,2021-01-23 17:21:00,UNIQ_00560,21114,Curitiba,MA,Wholesale,1,32.67,16.85,1,voucher,1,49.52,3.0,2021,1,6,17,1,1,49.52,11
ORD_000034,CUST_00982,delivered,2021-01-03 17:30:00,2021-01-03 21:30:00,2021-01-04 17:30:00,2021-01-07 17:30:00,2021-02-01 17:30:00,UNIQ_00982,75597,Curitiba,GO,B2B,1,52.63,21.89,1,credit_card,12,74.52,4.0,2021,1,6,17,1,1,74.52000000000001,4
ORD_000035,CUST_01508,delivered,2021-01-04 08:00:00,2021-01-05 08:00:00,2021-01-06 08:00:00,2021-01-16 08:00:00,2021-02-02 08:00:00,UNIQ_01508,53207,Manaus,AM,B2C,1,66.16,43.12,1,boleto,2,109.28,,2021,1,0,8,1,0,109.28,12
ORD_000036,CUST_02939,delivered,2021-01-04 08:31:00,2021-01-05 08:31:00,2021-01-06 08:31:00,2021-01-22 08:31:00,2021-01-25 08:31:00,UNIQ_02939,47576,Manaus,AM,B2B,2,239.47000000000003,47.53,2,voucher,3,287.0,3.0,2021,1,0,8,1,0,287.0,18
ORD_000037,CUST_02411,invoiced,2021-01-04 11:15:00,2021-01-04 18:15:00,2021-01-09 11:15:00,2021-01-08 11:15:00,2021-01-11 11:15:00,UNIQ_02411,14138,Sao Paulo,AM,Wholesale,1,38.62,18.0,1,boleto,1,56.62,4.0,2021,1,0,11,1,0,56.62,4
ORD_000038,CUST_00487,delivered,2021-01-04 12:23:00,2021-01-04 16:23:00,2021-01-08 12:23:00,2021-01-18 12:23:00,2021-02-01 12:23:00,UNIQ_00487,44237,Recife,ES,B2B,1,81.06,61.97,1,voucher,3,143.03,5.0,2021,1,0,12,1,0,143.03,14
ORD_000039,CUST_01089,shipped,2021-01-04 12:41:00,2021-01-04 23:41:00,2021-01-08 12:41:00,2021-01-21 12:41:00,2021-01-16 12:41:00,UNIQ_01089,28958,Brasilia,RJ,B2C,1,24.54,15.62,1,debit_card,2,40.16,5.0,2021,1,0,12,1,0,40.16,17
ORD_000040,CUST_00744,delivered,2021-01-04 12:47:00,2021-01-04 18:47:00,2021-01-05 12:47:00,2021-01-09 12:47:00,2021-01-20 12:47:00,UNIQ_00744,50888,Sao Paulo,PA,B2B,1,35.71,45.18,1,debit_card,1,80.89,4.0,2021,1,0,12,1,0,80.89,5
ORD_000041,CUST_01577,processing,2021-01-04 13:48:00,2021-01-05 12:48:00,2021-01-05 13:48:00,2021-01-12 13:48:00,2021-01-30 13:48:00,UNIQ_01577,16895,Porto Alegre,BA,Wholesale,3,181.74,57.63,3,boleto,6,239.37,3.0,2021,1,0,13,1,0,239.37,8
ORD_000042,CUST_00502,delivered,2021-01-04 14:39:00,2021-01-05 01:39:00,2021-01-08 14:39:00,2021-01-20 14:39:00,2021-01-13 14:39:00,UNIQ_00502,85574,Rio de Janeiro,MA,B2B,1,46.61,79.06,1,debit_card,3,125.67,5.0,2021,1,0,14,1,0,125.67,16
ORD_000043,CUST_01172,shipped,2021-01-04 15:59:00,2021-01-05 03:59:00,2021-01-08 15:59:00,2021-01-17 15:59:00,2021-01-13 15:59:00,UNIQ_01172,39817,Sao Paulo,RJ,Wholesale,5,238.59,226.95999999999998,5,voucher,1,465.55,5.0,2021,1,0,15,1,0,465.54999999999995,13
ORD_000044,CUST_00216,delivered,2021-01-04 16:28:00,2021-01-04 22:28:00,2021-01-07 16:28:00,2021-01-19 16:28:00,2021-01-24 16:28:00,UNIQ_00216,18392,Belo Horizonte,MA,Wholesale,1,41.21,47.87,1,boleto,3,89.08,3.0,2021,1,0,16,1,0,89.08,15
ORD_000045,CUST_02735,canceled,2021-01-04 16:30:00,2021-01-05 15:30:00,2021-01-08 16:30:00,2021-01-18 16:30:00,2021-01-29 16:30:00,UNIQ_02735,18819,Recife,PA,Wholesale,2,176.59,134.16000000000003,2,debit_card,6,310.75,5.0,2021,1,0,16,1,0,310.75,14
ORD_000046,CUST_01085,delivered,2021-01-04 21:46:00,2021-01-05 05:46:00,2021-01-05 21:46:00,2021-01-19 21:46:00,2021-01-30 21:46:00,UNIQ_01085,71894,Fortaleza,ES,B2B,2,137.49,106.82,2,debit_card,2,244.31,4.0,2021,1,0,21,1,0,244.31,15
ORD_000047,CUST_02666,delivered,2021-01-04 22:28:00,2021-01-05 21:28:00,2021-01-06 22:28:00,2021-01-15 22:28:00,2021-01-18 22:28:00,UNIQ_02666,70604,Brasilia,PA,B2C,1,53.29,36.81,1,voucher,2,90.1,5.0,2021,1,0,22,1,0,90.1,11
ORD_000048,CUST_02231,delivered,2021-01-05 10:37:00,2021-01-05 16:37:00,2021-01-08 10:37:00,2021-01-11 10:37:00,2021-01-21 10:37:00,UNIQ_02231,37631,Belo Horizonte,AM,B2C,1,78.74,22.13,1,boleto,3,100.87,5.0,2021,1,1,10,1,0,100.86999999999999,6
ORD_000049,CUST_02391,delivered,2021-01-05 12:13:00,2021-01-05 17:13:00,2021-01-10 12:13:00,2021-01-21 12:13:00,2021-02-04 12:13:00,UNIQ_02391,92478,Recife,ES,B2C,2,83.17,102.11,2,debit_card,1,185.28,,2021,1,1,12,1,0,185.28,16
ORD_000050,CUST_00801,shipped,2021-01-05 12:38:00,2021-01-06 10:38:00,2021-01-07 12:38:00,2021-01-18 12:38:00,2021-01-26 12:38:00,UNIQ_00801,59674,Rio de Janeiro,GO,B2B,1,21.86,36.15,1,credit_card,2,58.01,3.0,2021,1,1,12,1,0,58.01,13
ORD_000051,CUST_01016,delivered,2021-01-05 13:45:00,2021-01-06 07:45:00,2021-01-07 13:45:00,2021-01-20 13:45:00,2021-02-01 13:45:00,UNIQ_01016,71605,Sao Paulo,RS,B2B,2,24.799999999999997,26.330000000000002,2,credit_card,2,51.13,4.0,2021,1,1,13,1,0,51.129999999999995,15
ORD_000052,CUST_00645,delivered,2021-01-05 16:08:00,2021-01-05 18:08:00,2021-01-08 16:08:00,2021-01-20 16:08:00,2021-01-29 16:08:00,UNIQ_00645,63424,Porto Alegre,MG,B2B,1,29.43,57.8,1,debit_card,1,87.23,,2021,1,1,16,1,0,87.22999999999999,15
ORD_000053,CUST_01702,delivered,2021-01-05 18:36:00,2021-01-06 05:36:00,2021-01-09 18:36:00,2021-01-21 18:36:00,2021-01-26 18:36:00,UNIQ_01702,93269,Sao Paulo,RJ,B2B,1,72.12,21.74,1,credit_card,1,93.86,1.0,2021,1,1,18,1,0,93.86,16
ORD_000054,CUST_00477,delivered,2021-01-05 18:56:00,2021-01-06 11:56:00,2021-01-09 18:56:00,2021-01-22 18:56:00,2021-01-26 18:56:00,UNIQ_00477,46585,Rio de Janeiro,MA,B2B,4,256.93,109.83,4,credit_card,2,366.76,5.0,2021,1,1,18,1,0,366.76,17
ORD_000055,CUST_01233,delivered,2021-01-05 19:04:00,2021-01-06 13:04:00,2021-01-09 19:04:00,2021-01-11 19:04:00,2021-01-25 19:04:00,UNIQ_01233,23979,Recife,SP,Wholesale,1,60.82,49.64,1,credit_card,1,110.46,2.0,2021,1,1,19,1,0,110.46000000000001,6
ORD_000056,CUST_01298,canceled,2021-01-05 22:21:00,2021-01-06 05:21:00,2021-01-08 22:21:00,2021-01-18 22:21:00,2021-01-16 22:21:00,UNIQ_01298,98395,Sao Paulo,BA,B2B,2,202.11,73.78999999999999,2,debit_card,3,275.9,5.0,2021,1,1,22,1,0,275.9,13
