geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
65237,-22.877566,-43.562639,Curitiba,RJ
48159,-18.430623,-43.825037,Belo Horizonte,MG
43564,-16.455065,-49.841917,Curitiba,DF
36698,-22.733526,-42.68686,Sao Paulo,RJ
14192,-3.248818,-37.145898,Curitiba,CE
50629,-2.461425,-43.194671,Belo Horizonte,MA
90871,-24.389564,-50.889584,Curitiba,PR
63847,-15.972995,-47.990428,Sao Paulo,DF
18645,-19.011388,-44.601662,Rio de Janeiro,MG
71867,-22.315151,-46.230914,Rio de Janeiro,SP
80184,-14.598186,-38.501918,Sao Paulo,BA
34010,-15.47032,-47.54233,Rio de Janeiro,GO
42181,-29.361984,-48.205759,Sao Paulo,SC
64554,-22.364237,-47.100277,Belo Horizonte,SP
88311,-2.961412,-43.134151,Rio de Janeiro,MA
29203,-24.760257,-44.34099,Sao Paulo,RJ
74858,-21.653064,-46.17053,Curitiba,SP
61763,-6.7792,-33.752887,Belo Horizonte,PE
84140,-21.448194,-42.725132,Belo Horizonte,RJ
99108,-14.30721,-38.163019,Belo Horizonte,BA
81372,-21.014821,-39.22502,Rio de Janeiro,ES
63130,-22.915636,-48.107088,Curitiba,SP
39702,-18.612306,-43.797243,Rio de Janeiro,MG
17299,-15.191564,-48.984677,Sao Paulo,DF
47773,-7.621775,-35.856679,Sao Paulo,PE
97179,-23.490953,-46.666862,Curitiba,SP
28279,-29.105619,-52.887497,Belo Horizonte,RS
91976,-18.278586,-49.141087,Sao Paulo,GO
14545,-21.499418,-42.747611,Curitiba,MG
48060,-18.504645,-44.788467,Belo Horizonte,MG
86100,-2.05771,-44.884455,Rio de Janeiro,MA
87211,-14.352794,-36.594758,Curitiba,BA
65728,-15.542049,-47.262948,Curitiba,GO
24071,-24.684503,-44.092194,Belo Horizonte,RJ
67151,-27.046509,-49.60761,Sao Paulo,PR
21295,-2.98757,-37.762177,Curitiba,CE
95856,-13.932399,-47.160611,Belo Horizonte,DF
12552,-3.465816,-39.917603,Sao Paulo,CE
38176,-11.615197,-39.28942,Rio de Janeiro,BA
53454,-2.419627,-49.488218,Curitiba,PA
20638,-8.226997,-36.833468,Rio de Janeiro,PE
24958,-26.247293,-48.789417,Belo Horizonte,PR
28955,-3.029053,-61.309709,Belo Horizonte,AM
64292,-1.755967,-42.849288,Curitiba,MA
17419,-0.166406,-46.547688,Curitiba,PA
38823,-18.381548,-38.883271,Curitiba,ES
45000,-2.758422,-58.736357,Curitiba,AM
75691,-23.48827,-49.232099,Belo Horizonte,PR
95656,-3.335615,-44.119859,Belo Horizonte,MA
76359,-28.558017,-51.739469,Curitiba,RS
44024,-3.648656,-44.258412,Rio de Janeiro,MA
10573,-0.885482,-45.527721,Curitiba,MA
36714,-27.855442,-48.459362,Rio de Janeiro,SC
94673,-1.690599,-49.968333,Rio de Janeiro,PA
51284,-4.165639,-45.292294,Sao Paulo,MA
36278,-20.505718,-45.541025,Curitiba,MG
84887,-20.608223,-40.707339,Curitiba,ES
51478,-26.844806,-48.654657,Rio de Janeiro,SC
99077,-28.961684,-51.191509,Sao Paulo,RS
62218,-15.084209,-48.548437,Belo Horizonte,GO
90566,-28.49546,-53.005968,Rio de Janeiro,RS
88476,-14.929803,-51.093978,Rio de Janeiro,GO
67820,-21.112325,-42.203988,Rio de Janeiro,RJ
84529,-18.819608,-45.118114,Rio de Janeiro,MG
57492,-15.976977,-48.752723,Rio de Janeiro,GO
54285,-17.456564,-49.40148,Belo Horizonte,GO
59520,-26.707584,-48.248719,Sao Paulo,SC
88095,-2.454695,-49.976649,Sao Paulo,PA
69452,-24.141153,-41.297179,Sao Paulo,RJ
81990,-2.894998,-48.863631,Belo Horizonte,PA
37787,-22.662869,-43.41759,Sao Paulo,RJ
77895,-3.139107,-48.025784,Curitiba,PA
41013,-2.245057,-47.399833,Sao Paulo,PA
80741,-27.104904,-46.767826,Belo Horizonte,SC
57038,-4.574109,-59.906741,Belo Horizonte,AM
28251,-25.831372,-48.612613,Curitiba,SC
88585,-20.64513,-42.572898,Sao Paulo,MG
12920,-17.530687,-47.283847,Rio de Janeiro,DF
94644,-16.730926,-49.326846,Belo Horizonte,DF
56924,-23.676935,-48.298516,Sao Paulo,PR
60599,-26.095865,-48.421643,Belo Horizonte,SC
58815,-23.896198,-42.866132,Belo Horizonte,RJ
12038,-1.223881,-61.307218,Belo Horizonte,AM
49953,-2.132856,-38.774845,Rio de Janeiro,CE
71610,-13.237348,-38.607981,Rio de Janeiro,BA
30304,-11.568915,-38.207073,Belo Horizonte,BA
65303,-11.978036,-38.135994,Belo Horizonte,BA
93503,-14.544045,-37.832019,Belo Horizonte,BA
91787,-17.604636,-50.915589,Sao Paulo,GO
60778,-14.289999,-37.989813,Curitiba,BA
16642,-22.395518,-47.317522,Curitiba,SP
47981,-2.792631,-44.663522,Curitiba,MA
93960,-16.784837,-49.354096,Sao Paulo,GO
50009,-32.015686,-49.840702,Belo Horizonte,RS
19176,-23.388481,-42.365512,Sao Paulo,RJ
42003,-25.27042,-45.018521,Curitiba,SP
66473,-1.805379,-59.37382,Rio de Janeiro,AM
66245,-5.625953,-37.11078,Curitiba,CE
14275,-2.821407,-36.753194,Rio de Janeiro,CE
