order_id,order_item_id,product_id,seller_id,price,freight_value,shipping_limit_date
ORD_000001,1,PROD_00526,SELL_0124,50.8,55.08,2021-01-07 10:37:00
ORD_000001,2,PROD_00537,SELL_0351,31.1,29.22,2021-01-08 10:37:00
ORD_000001,3,PROD_00068,SELL_0131,29.31,56.84,2021-01-08 10:37:00
ORD_000001,4,PROD_00634,SELL_0125,32.49,69.89,2021-01-07 10:37:00
ORD_000001,5,PROD_00386,SELL_0369,48.39,58.55,2021-01-05 10:37:00
ORD_000002,1,PROD_00237,SELL_0299,55.71,10.02,2021-01-06 12:09:00
ORD_000003,1,PROD_00561,SELL_0295,59.22,8.75,2021-01-07 12:35:00
ORD_000004,1,PROD_00597,SELL_0061,42.81,42.55,2021-01-04 13:36:00
ORD_000005,1,PROD_00001,SELL_0245,153.59,22.57,2021-01-06 15:21:00
ORD_000006,1,PROD_00165,SELL_0394,649.58,12.1,2021-01-06 17:45:00
ORD_000006,2,PROD_00606,SELL_0396,67.5,51.9,2021-01-05 17:45:00
ORD_000006,3,PROD_00127,SELL_0140,83.43,53.2,2021-01-04 17:45:00
ORD_000007,1,PROD_00066,SELL_0315,27.39,41.71,2021-01-05 18:20:00
ORD_000008,1,PROD_00210,SELL_0143,90.11,72.4,2021-01-05 18:42:00
ORD_000009,1,PROD_00539,SELL_0201,30.18,7.41,2021-01-06 19:12:00
ORD_000010,1,PROD_00700,SELL_0046,33.32,39.1,2021-01-06 22:35:00
ORD_000010,2,PROD_00752,SELL_0250,24.39,28.46,2021-01-07 22:35:00
ORD_000010,3,PROD_00375,SELL_0397,109.99,63.82,2021-01-07 22:35:00
ORD_000010,4,PROD_00497,SELL_0327,53.66,59.66,2021-01-06 22:35:00
ORD_000010,5,PROD_00372,SELL_0364,91.74,34.66,2021-01-07 22:35:00
ORD_000011,1,PROD_00674,SELL_0219,124.15,46.15,2021-01-08 06:12:00
ORD_000012,1,PROD_00302,SELL_0399,68.1,41.75,2021-01-07 06:22:00
ORD_000013,1,PROD_00715,SELL_0294,88.33,9.0,2021-01-06 09:10:00
ORD_000013,2,PROD_00732,SELL_0030,111.27,11.5,2021-01-07 09:10:00
ORD_000013,3,PROD_00646,SELL_0098,67.51,47.0,2021-01-07 09:10:00
ORD_000014,1,PROD_00712,SELL_0273,68.66,32.22,2021-01-05 10:23:00
ORD_000015,1,PROD_00456,SELL_0345,253.98,45.57,2021-01-08 12:56:00
ORD_000016,1,PROD_00074,SELL_0297,263.43,71.45,2021-01-09 13:10:00
ORD_000017,1,PROD_00093,SELL_0128,20.95,51.7,2021-01-08 15:06:00
ORD_000017,2,PROD_00066,SELL_0061,26.54,77.93,2021-01-05 15:06:00
ORD_000017,3,PROD_00057,SELL_0380,57.13,29.41,2021-01-08 15:06:00
ORD_000017,4,PROD_00301,SELL_0200,438.4,33.23,2021-01-05 15:06:00
ORD_000018,1,PROD_00400,SELL_0055,78.28,78.05,2021-01-09 15:25:00
ORD_000018,2,PROD_00265,SELL_0344,17.63,40.56,2021-01-05 15:25:00
ORD_000019,1,PROD_00468,SELL_0343,18.22,47.43,2021-01-06 15:41:00
ORD_000020,1,PROD_00523,SELL_0298,208.93,15.4,2021-01-06 17:18:00
