order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_000001,1,boleto,6,461.67
ORD_000002,1,credit_card,1,65.73
ORD_000003,1,credit_card,6,67.97
ORD_000004,1,debit_card,2,85.36
ORD_000005,1,debit_card,1,176.16
ORD_000006,1,debit_card,1,917.71
ORD_000007,1,debit_card,12,69.1
ORD_000008,1,voucher,1,162.51
ORD_000009,1,debit_card,6,37.59
ORD_000010,1,credit_card,2,538.8
ORD_000011,1,voucher,12,170.3
ORD_000012,1,debit_card,6,109.85
ORD_000013,1,voucher,1,334.61
ORD_000014,1,debit_card,12,100.88
ORD_000015,1,debit_card,1,299.55
ORD_000016,1,debit_card,6,334.88
ORD_000017,1,debit_card,12,735.29
ORD_000018,1,credit_card,1,214.52
ORD_000019,1,voucher,3,65.65
ORD_000020,1,credit_card,1,877.49
ORD_000021,1,voucher,2,73.39
ORD_000022,1,voucher,2,41.51
ORD_000023,1,voucher,1,73.03
ORD_000024,1,boleto,1,84.64
ORD_000025,1,debit_card,1,105.94
ORD_000026,1,voucher,12,199.49
ORD_000027,1,voucher,3,233.19
ORD_000028,1,boleto,1,85.27
ORD_000029,1,debit_card,2,14.53
ORD_000030,1,debit_card,3,86.08
ORD_000031,1,credit_card,6,97.35
ORD_000032,1,boleto,3,265.68
ORD_000033,1,voucher,1,49.52
ORD_000034,1,credit_card,12,74.52
ORD_000035,1,boleto,2,109.28
ORD_000036,1,voucher,3,287.0
ORD_000037,1,boleto,1,56.62
ORD_000038,1,voucher,3,143.03
ORD_000039,1,debit_card,2,40.16
ORD_000040,1,debit_card,1,80.89
ORD_000041,1,boleto,6,239.37
ORD_000042,1,debit_card,3,125.67
ORD_000043,1,voucher,1,465.55
ORD_000044,1,boleto,3,89.08
ORD_000045,1,debit_card,6,310.75
ORD_000046,1,debit_card,2,244.31
ORD_000047,1,voucher,2,90.1
ORD_000048,1,boleto,3,100.87
ORD_000049,1,debit_card,1,185.28
ORD_000050,1,credit_card,2,58.01
ORD_000051,1,credit_card,2,51.13
ORD_000052,1,debit_card,1,87.23
ORD_000053,1,credit_card,1,93.86
ORD_000054,1,credit_card,2,366.76
ORD_000055,1,credit_card,1,110.46
ORD_000056,1,debit_card,3,275.9
ORD_000057,1,voucher,12,219.92
ORD_000058,1,credit_card,2,331.43
ORD_000059,1,debit_card,6,398.45
ORD_000060,1,debit_card,12,172.68
ORD_000061,1,debit_card,2,306.31
ORD_000062,1,boleto,2,443.36
ORD_000063,1,voucher,3,146.16
ORD_000064,1,boleto,1,338.45
ORD_000065,1,debit_card,3,84.51
ORD_000066,1,voucher,2,66.27
ORD_000067,1,credit_card,1,347.66
ORD_000068,1,credit_card,3,519.64
ORD_000069,1,boleto,6,40.23
ORD_000070,1,credit_card,1,73.83
ORD_000071,1,debit_card,1,241.07
ORD_000072,1,boleto,2,77.9
ORD_000073,1,boleto,1,83.93
ORD_000074,1,boleto,1,68.52
ORD_000075,1,voucher,2,55.61
ORD_000076,1,boleto,2,48.69
ORD_000077,1,boleto,6,120.34
ORD_000078,1,debit_card,1,266.53
ORD_000079,1,boleto,1,128.9
ORD_000080,1,boleto,1,71.84
ORD_000081,1,boleto,2,361.87
ORD_000082,1,voucher,3,32.14
ORD_000083,1,boleto,3,44.69
ORD_000084,1,debit_card,2,116.7
ORD_000085,1,voucher,1,130.54
ORD_000086,1,voucher,2,585.0
ORD_000087,1,voucher,3,669.51
ORD_000088,1,debit_card,6,42.55
ORD_000089,1,debit_card,1,108.64
ORD_000090,1,boleto,2,82.35
ORD_000091,1,boleto,3,147.57
ORD_000092,1,voucher,1,80.02
ORD_000093,1,debit_card,2,210.02
ORD_000094,1,credit_card,3,148.45
ORD_000095,1,debit_card,6,335.78
ORD_000096,1,debit_card,3,63.9
ORD_000097,1,boleto,12,57.11
ORD_000098,1,boleto,6,237.63
ORD_000099,1,boleto,1,312.57
ORD_000100,1,voucher,6,64.31
ORD_000101,1,boleto,1,183.72
ORD_000102,1,boleto,3,367.45
ORD_000103,1,credit_card,1,91.57
ORD_000104,1,debit_card,12,86.77
ORD_000105,1,debit_card,3,89.94
ORD_000106,1,debit_card,3,161.18
ORD_000107,1,debit_card,3,214.95
ORD_000108,1,debit_card,2,679.91
ORD_000109,1,voucher,1,697.16
ORD_000110,1,voucher,1,159.89
ORD_000111,1,credit_card,6,472.3
ORD_000112,1,voucher,1,118.1
ORD_000113,1,credit_card,6,877.53
ORD_000114,1,debit_card,6,320.18
ORD_000115,1,debit_card,2,127.58
ORD_000116,1,voucher,3,187.67
ORD_000117,1,boleto,6,479.13
ORD_000118,1,voucher,1,297.64
ORD_000119,1,credit_card,1,267.33
ORD_000120,1,boleto,12,125.54
ORD_000121,1,debit_card,2,107.73
ORD_000122,1,voucher,3,85.31
ORD_000123,1,debit_card,1,80.25
ORD_000124,1,boleto,1,109.59
ORD_000125,1,boleto,6,209.77
ORD_000126,1,debit_card,2,206.59
ORD_000127,1,debit_card,6,83.09
ORD_000128,1,voucher,1,170.67
ORD_000129,1,voucher,2,265.94
ORD_000130,1,voucher,6,84.37
ORD_000131,1,debit_card,2,254.95
ORD_000132,1,voucher,1,52.69
ORD_000133,1,voucher,1,277.19
ORD_000134,1,credit_card,1,226.91
ORD_000135,1,boleto,3,388.88
ORD_000136,1,voucher,1,116.78
ORD_000137,1,boleto,2,79.07
ORD_000138,1,credit_card,1,244.83
ORD_000139,1,debit_card,1,318.52
ORD_000140,1,credit_card,1,227.37
ORD_000141,1,boleto,2,666.48
ORD_000142,1,voucher,6,130.04
ORD_000143,1,voucher,1,237.64
ORD_000144,1,boleto,2,95.58
ORD_000145,1,credit_card,3,94.18
ORD_000146,1,voucher,6,321.83
ORD_000147,1,debit_card,1,169.14
ORD_000148,1,voucher,1,290.3
ORD_000149,1,voucher,3,65.68
ORD_000150,1,boleto,1,272.93
ORD_000151,1,credit_card,3,276.13
ORD_000152,1,debit_card,1,71.93
ORD_000153,1,boleto,1,127.65
ORD_000154,1,credit_card,6,88.01
ORD_000155,1,boleto,1,374.75
ORD_000156,1,voucher,12,668.69
ORD_000157,1,voucher,3,106.49
ORD_000158,1,debit_card,12,58.09
ORD_000159,1,debit_card,3,72.96
ORD_000160,1,boleto,6,132.39
ORD_000161,1,boleto,1,145.57
ORD_000162,1,credit_card,12,166.9
ORD_000163,1,credit_card,1,83.73
ORD_000164,1,voucher,1,234.32
ORD_000165,1,credit_card,6,39.09
ORD_000166,1,debit_card,2,64.89
ORD_000167,1,boleto,2,336.58
ORD_000168,1,boleto,1,90.29
ORD_000169,1,credit_card,12,92.71
ORD_000170,1,voucher,12,418.29
ORD_000171,1,credit_card,6,485.11
ORD_000172,1,boleto,3,207.09
ORD_000173,1,voucher,1,46.53
ORD_000174,1,credit_card,6,165.48
ORD_000175,1,credit_card,12,255.17
ORD_000176,1,boleto,1,323.8
ORD_000177,1,debit_card,3,229.19
ORD_000178,1,voucher,1,396.87
ORD_000179,1,credit_card,6,163.08
ORD_000180,1,boleto,3,87.52
ORD_000181,1,credit_card,1,44.65
ORD_000182,1,debit_card,1,160.25
ORD_000183,1,voucher,2,201.59
ORD_000184,1,boleto,3,107.44
ORD_000185,1,credit_card,3,111.76
ORD_000186,1,boleto,1,84.71
ORD_000187,1,voucher,1,93.02
ORD_000188,1,boleto,2,132.83
ORD_000189,1,credit_card,1,121.46
ORD_000190,1,credit_card,2,143.44
ORD_000191,1,credit_card,1,118.38
ORD_000192,1,credit_card,2,484.2
ORD_000193,1,boleto,1,91.73
ORD_000194,1,debit_card,12,104.9
ORD_000195,1,boleto,1,42.73
ORD_000196,1,credit_card,6,457.86
ORD_000197,1,voucher,1,492.12
ORD_000198,1,credit_card,1,110.03
ORD_000199,1,debit_card,1,213.95
ORD_000200,1,voucher,6,258.44
ORD_000201,1,credit_card,1,341.32
ORD_000202,1,boleto,3,27.42
ORD_000203,1,boleto,1,24.94
ORD_000204,1,credit_card,12,500.86
ORD_000205,1,debit_card,2,498.39
ORD_000206,1,credit_card,6,53.53
ORD_000207,1,voucher,1,138.44
ORD_000208,1,boleto,3,117.34
ORD_000209,1,voucher,12,80.19
ORD_000210,1,boleto,2,349.45
ORD_000211,1,boleto,6,212.33
ORD_000212,1,voucher,2,150.22
ORD_000213,1,debit_card,12,518.72
ORD_000214,1,voucher,1,493.05
ORD_000215,1,voucher,12,99.65
ORD_000216,1,debit_card,2,156.24
ORD_000217,1,voucher,6,154.79
ORD_000218,1,credit_card,1,90.24
ORD_000219,1,boleto,12,88.07
ORD_000220,1,debit_card,2,204.87
ORD_000221,1,boleto,2,377.75
ORD_000222,1,boleto,2,103.59
ORD_000223,1,boleto,6,79.71
ORD_000224,1,boleto,6,105.54
ORD_000225,1,boleto,1,640.46
ORD_000226,1,credit_card,1,608.01
ORD_000227,1,boleto,2,87.09
ORD_000228,1,boleto,12,109.87
ORD_000229,1,voucher,2,93.46
ORD_000230,1,debit_card,1,106.46
ORD_000231,1,credit_card,2,81.18
ORD_000232,1,boleto,1,184.16
ORD_000233,1,credit_card,12,477.12
ORD_000234,1,voucher,12,109.32
ORD_000235,1,credit_card,1,143.45
ORD_000236,1,boleto,1,112.2
ORD_000237,1,voucher,2,63.16
ORD_000238,1,boleto,2,391.13
ORD_000239,1,credit_card,1,121.1
ORD_000240,1,debit_card,2,159.9
ORD_000241,1,credit_card,1,109.87
ORD_000242,1,debit_card,2,137.39
ORD_000243,1,credit_card,2,179.97
ORD_000244,1,boleto,12,55.94
ORD_000245,1,boleto,1,64.93
ORD_000246,1,credit_card,12,181.2
ORD_000247,1,credit_card,1,159.14
ORD_000248,1,voucher,1,247.95
ORD_000249,1,boleto,1,157.82
ORD_000250,1,boleto,2,108.97
ORD_000251,1,debit_card,2,47.13
ORD_000252,1,voucher,2,266.07
ORD_000253,1,voucher,6,84.28
ORD_000254,1,debit_card,6,656.17
ORD_000255,1,voucher,12,74.83
ORD_000256,1,debit_card,12,100.06
ORD_000257,1,debit_card,1,168.41
ORD_000258,1,voucher,3,150.15
ORD_000259,1,debit_card,3,250.62
ORD_000260,1,boleto,2,79.1
ORD_000261,1,boleto,6,123.01
ORD_000262,1,debit_card,6,310.98
ORD_000263,1,debit_card,2,494.79
ORD_000264,1,voucher,2,244.13
ORD_000265,1,debit_card,1,37.69
ORD_000266,1,voucher,2,733.86
ORD_000267,1,voucher,3,209.48
ORD_000268,1,boleto,1,650.69
ORD_000269,1,debit_card,1,73.46
ORD_000270,1,credit_card,1,97.71
ORD_000271,1,credit_card,6,341.96
ORD_000272,1,voucher,1,157.31
ORD_000273,1,credit_card,6,68.82
ORD_000274,1,debit_card,1,153.96
ORD_000275,1,debit_card,2,66.79
ORD_000276,1,boleto,1,171.35
ORD_000277,1,voucher,2,139.51
ORD_000278,1,voucher,12,382.08
ORD_000279,1,credit_card,1,647.67
ORD_000280,1,credit_card,2,317.56
ORD_000281,1,voucher,6,464.52
ORD_000282,1,voucher,3,49.02
ORD_000283,1,boleto,12,151.81
ORD_000284,1,boleto,3,274.95
ORD_000285,1,voucher,1,221.8
ORD_000286,1,credit_card,1,108.02
ORD_000287,1,debit_card,1,114.81
ORD_000288,1,boleto,2,95.13
ORD_000289,1,debit_card,3,340.28
ORD_000290,1,boleto,1,208.47
