review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV_746442,ORD_000001,4,Order Review,Good product.,2021-01-17 10:37:00,2021-01-20 10:37:00
REV_614134,ORD_000002,3,Order Review,Average.,2021-01-27 12:09:00,2021-01-28 12:09:00
REV_477477,ORD_000003,5,Order Review,Excellent quality.,2021-01-07 12:35:00,2021-01-08 12:35:00
REV_819131,ORD_000005,3,Order Review,OK for the price.,2021-01-14 15:21:00,2021-01-17 15:21:00
REV_363398,ORD_000006,4,Order Review,Good product.,2021-01-09 17:45:00,2021-01-14 17:45:00
REV_627479,ORD_000007,5,Order Review,Very satisfied.,2021-01-29 18:20:00,2021-02-07 18:20:00
REV_345119,ORD_000009,3,Order Review,Nothing special.,2021-01-18 19:12:00,2021-01-22 19:12:00
REV_528388,ORD_000010,1,Order Review,Terrible!,2021-01-17 22:35:00,2021-01-26 22:35:00
REV_184109,ORD_000011,5,Order Review,Great product!,2021-01-16 06:12:00,2021-01-18 06:12:00
REV_814382,ORD_000012,5,Order Review,Highly recommend!,2021-01-28 06:22:00,2021-02-06 06:22:00
REV_520194,ORD_000013,3,Order Review,OK for the price.,2021-01-10 09:10:00,2021-01-16 09:10:00
REV_173814,ORD_000014,5,Order Review,Very satisfied.,2021-01-11 10:23:00,2021-01-14 10:23:00
REV_227958,ORD_000015,5,Order Review,Great product!,2021-01-15 12:56:00,2021-01-23 12:56:00
REV_823014,ORD_000016,5,Order Review,Excellent quality.,2021-01-16 13:10:00,2021-01-19 13:10:00
REV_446820,ORD_000017,5,Order Review,Excellent quality.,2021-01-16 15:06:00,2021-01-17 15:06:00
REV_461051,ORD_000018,5,Order Review,Highly recommend!,2021-01-23 15:25:00,2021-01-31 15:25:00
REV_900035,ORD_000019,1,Order Review,Terrible!,2021-01-22 15:41:00,2021-01-24 15:41:00
REV_878474,ORD_000020,4,Order Review,Works well.,2021-01-20 17:18:00,2021-01-27 17:18:00
REV_584631,ORD_000023,3,Order Review,OK for the price.,2021-01-31 08:36:00,2021-02-05 08:36:00
REV_767438,ORD_000024,5,Order Review,Highly recommend!,2021-01-11 09:00:00,2021-01-17 09:00:00
REV_226116,ORD_000025,5,Order Review,Great product!,2021-01-23 10:44:00,2021-02-02 10:44:00
REV_203164,ORD_000026,5,Order Review,Highly recommend!,2021-02-01 12:13:00,2021-02-02 12:13:00
REV_894956,ORD_000028,5,Order Review,Great product!,2021-01-29 12:32:00,2021-02-08 12:32:00
REV_393544,ORD_000029,4,Order Review,Happy with purchase.,2021-01-10 13:59:00,2021-01-14 13:59:00
REV_201863,ORD_000030,5,Order Review,Excellent quality.,2021-01-18 14:22:00,2021-01-23 14:22:00
REV_881880,ORD_000032,3,Order Review,OK for the price.,2021-01-08 16:20:00,2021-01-10 16:20:00
REV_855535,ORD_000033,3,Order Review,Nothing special.,2021-01-22 17:21:00,2021-01-29 17:21:00
REV_354018,ORD_000034,4,Order Review,Works well.,2021-01-15 17:30:00,2021-01-22 17:30:00
REV_463590,ORD_000036,3,Order Review,OK for the price.,2021-02-03 08:31:00,2021-02-13 08:31:00
REV_545301,ORD_000037,4,Order Review,Decent quality.,2021-01-12 11:15:00,2021-01-19 11:15:00
REV_374113,ORD_000038,5,Order Review,Great product!,2021-01-16 12:23:00,2021-01-24 12:23:00
REV_757134,ORD_000039,5,Order Review,Very satisfied.,2021-01-27 12:41:00,2021-01-29 12:41:00
REV_716501,ORD_000040,4,Order Review,Happy with purchase.,2021-01-16 12:47:00,2021-01-20 12:47:00
REV_130189,ORD_000041,3,Order Review,Average.,2021-01-28 13:48:00,2021-02-03 13:48:00
REV_997676,ORD_000042,5,Order Review,Excellent quality.,2021-01-31 14:39:00,2021-02-03 14:39:00
REV_135914,ORD_000043,5,Order Review,Very satisfied.,2021-02-01 15:59:00,2021-02-09 15:59:00
REV_775875,ORD_000044,3,Order Review,Nothing special.,2021-01-15 16:28:00,2021-01-20 16:28:00
REV_127631,ORD_000045,5,Order Review,Great product!,2021-01-29 16:30:00,2021-02-01 16:30:00
REV_848516,ORD_000046,4,Order Review,Good product.,2021-01-26 21:46:00,2021-02-05 21:46:00
REV_308207,ORD_000047,5,Order Review,Excellent quality.,2021-01-20 22:28:00,2021-01-21 22:28:00
