order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD_000001,CUST_00726,shipped,2021-01-01 10:37:00,2021-01-02 04:37:00,2021-01-04 10:37:00,2021-01-10 10:37:00,2021-01-17 10:37:00
ORD_000002,CUST_01406,delivered,2021-01-01 12:09:00,2021-01-01 13:09:00,2021-01-02 12:09:00,2021-01-16 12:09:00,2021-01-29 12:09:00
ORD_000003,CUST_01170,delivered,2021-01-01 12:35:00,2021-01-01 16:35:00,2021-01-04 12:35:00,2021-01-08 12:35:00,2021-01-12 12:35:00
ORD_000004,CUST_01516,canceled,2021-01-01 13:36:00,2021-01-02 00:36:00,2021-01-02 13:36:00,2021-01-04 13:36:00,2021-01-29 13:36:00
ORD_000005,CUST_00091,delivered,2021-01-01 15:21:00,2021-01-02 15:21:00,2021-01-06 15:21:00,2021-01-06 15:21:00,2021-01-30 15:21:00
ORD_000006,CUST_02194,delivered,2021-01-01 17:45:00,2021-01-02 14:45:00,2021-01-06 17:45:00,2021-01-17 17:45:00,2021-01-26 17:45:00
ORD_000007,CUST_02858,delivered,2021-01-01 18:20:00,2021-01-01 22:20:00,2021-01-04 18:20:00,2021-01-04 18:20:00,2021-01-09 18:20:00
ORD_000008,CUST_00033,delivered,2021-01-01 18:42:00,2021-01-02 10:42:00,2021-01-02 18:42:00,2021-01-12 18:42:00,2021-01-09 18:42:00
ORD_000009,CUST_02346,delivered,2021-01-01 19:12:00,2021-01-02 09:12:00,2021-01-06 19:12:00,2021-01-13 19:12:00,2021-01-26 19:12:00
ORD_000010,CUST_01361,shipped,2021-01-01 22:35:00,2021-01-02 08:35:00,2021-01-02 22:35:00,2021-01-07 22:35:00,2021-01-17 22:35:00
ORD_000011,CUST_02533,invoiced,2021-01-02 06:12:00,2021-01-02 11:12:00,2021-01-07 06:12:00,2021-01-20 06:12:00,2021-01-10 06:12:00
ORD_000012,CUST_01255,delivered,2021-01-02 06:22:00,2021-01-03 01:22:00,2021-01-03 06:22:00,2021-01-10 06:22:00,2021-01-12 06:22:00
ORD_000013,CUST_02081,delivered,2021-01-02 09:10:00,2021-01-02 23:10:00,2021-01-03 09:10:00,2021-01-11 09:10:00,2021-01-23 09:10:00
ORD_000014,CUST_00359,delivered,2021-01-02 10:23:00,2021-01-03 09:23:00,2021-01-05 10:23:00,2021-01-07 10:23:00,2021-01-24 10:23:00
ORD_000015,CUST_01400,delivered,2021-01-02 12:56:00,2021-01-02 18:56:00,2021-01-06 12:56:00,2021-01-05 12:56:00,2021-02-01 12:56:00
ORD_000016,CUST_00760,delivered,2021-01-02 13:10:00,2021-01-03 06:10:00,2021-01-06 13:10:00,2021-01-07 13:10:00,2021-01-17 13:10:00
ORD_000017,CUST_01635,delivered,2021-01-02 15:06:00,2021-01-02 16:06:00,2021-01-04 15:06:00,2021-01-19 15:06:00,2021-01-28 15:06:00
ORD_000018,CUST_02441,shipped,2021-01-02 15:25:00,2021-01-03 10:25:00,2021-01-05 15:25:00,2021-01-06 15:25:00,2021-01-29 15:25:00
ORD_000019,CUST_00585,processing,2021-01-02 15:41:00,2021-01-02 20:41:00,2021-01-04 15:41:00,2021-01-17 15:41:00,2021-01-12 15:41:00
ORD_000020,CUST_01324,delivered,2021-01-02 17:18:00,2021-01-03 03:18:00,2021-01-06 17:18:00,2021-01-18 17:18:00,2021-01-27 17:18:00
ORD_000021,CUST_01521,delivered,2021-01-02 22:27:00,2021-01-03 02:27:00,2021-01-04 22:27:00,2021-01-21 22:27:00,2021-01-14 22:27:00
ORD_000022,CUST_02359,invoiced,2021-01-03 06:50:00,2021-01-03 10:50:00,2021-01-06 06:50:00,2021-01-18 06:50:00,2021-01-26 06:50:00
ORD_000023,CUST_01562,delivered,2021-01-03 08:36:00,2021-01-03 20:36:00,2021-01-08 08:36:00,2021-01-13 08:36:00,2021-01-16 08:36:00
ORD_000024,CUST_01627,delivered,2021-01-03 09:00:00,2021-01-03 10:00:00,2021-01-06 09:00:00,2021-01-20 09:00:00,2021-01-14 09:00:00
ORD_000025,CUST_01238,delivered,2021-01-03 10:44:00,2021-01-03 21:44:00,2021-01-04 10:44:00,2021-01-10 10:44:00,2021-01-19 10:44:00
ORD_000026,CUST_01830,processing,2021-01-03 12:13:00,2021-01-03 13:13:00,2021-01-07 12:13:00,2021-01-09 12:13:00,2021-01-28 12:13:00
ORD_000027,CUST_00745,delivered,2021-01-03 12:28:00,2021-01-04 09:28:00,2021-01-07 12:28:00,2021-01-23 12:28:00,2021-01-21 12:28:00
ORD_000028,CUST_00463,delivered,2021-01-03 12:32:00,2021-01-04 08:32:00,2021-01-05 12:32:00,2021-01-17 12:32:00,2021-01-13 12:32:00
ORD_000029,CUST_00982,delivered,2021-01-03 13:59:00,2021-01-04 03:59:00,2021-01-06 13:59:00,2021-01-23 13:59:00,2021-01-13 13:59:00
ORD_000030,CUST_00056,delivered,2021-01-03 14:22:00,2021-01-04 10:22:00,2021-01-05 14:22:00,2021-01-12 14:22:00,2021-01-10 14:22:00
